"Zurich, ZH",239
Vienna,151
München,49
"Geneva, GE",43
Berlin,38
Switzerland,31
Frankfurt am Main,30
Stuttgart,28
"Graz, ST",23
Hamburg,18
Deutschland,15
"Wiesbaden, Hessen",15
"Basel, BS",13
"Saarbrücken, Saarland 66111",12
"Trier, Rheinland-Pfalz 54290",12
"Berlin, Berlin",11
"Innsbruck, T 6020",9
"Hamburg, Hamburg",8
Ditzingen (Raum Stuttgart),8
10117 Berlin,8
"Neuchâtel, NE 2000",7
"Cheseaux, VD",7
Erlangen,6
"Basel, BS 4070",6
"Stuttgart, BW",6
Bonn,6
"Erlangen, Bayern 91058",6
"Lugano, TI",6
"Lausanne, VD",5
"München, Bayern 80331",5
Aschheim,5
"Bern, BE",5
Heidelberg,5
Ottobrunn,5
"Baar, ZG",4
Düsseldorf,4
Essen,4
Dresden,4
Darmstadt,4
"Berlin, Berlin 10587",4
"8045 Zurich, ZH",4
"Bellinzona, TI 6500",4
"Munich, Berlin",4
Hohenfels,4
Walldorf,4
"Munich, BY",4
"Prilly, VD 1008",4
"Innsbruck, T",4
Hard,3
"Prilly, VD",3
Ottobrunn near Munich,3
"Planegg Raum München, Bayern 82152",3
Standortuebergreifend,3
"Berlin, Berlin 10623",3
Wiesbaden,3
"Zurich, ZH 8050",3
bundesweit,3
Dornbirn,3
Leipzig,3
Luxembourg,3
"Egerkingen, SO 4622",3
Elsbethen,3
"Klagenfurt am Wörthersee, K",3
Karlsruhe,3
"Innsbruck, Austria",3
Innsbruck,3
"Frankfurt, Hessen",3
Friedrichshafen,3
"Fuschl am See, Austria",3
"Gratkorn, ST",3
Graz,3
"Hamburg, Hamburg 20095",3
Österreich,3
"6300 Zug, ZG",3
10785 Berlin,3
10178 Berlin,3
10115 Berlin,2
"Essen, Nordrhein-Westfalen",2
Ulm,2
Esch-sur-Alzette,2
"Au, NÖ",2
"Munich, DE",2
"Elsbethen, S",2
"Elsbethen, Austria",2
Jena,2
53113 Bonn,2
"Vienna 3. Bezirk (Landstraße), W",2
"Vienna, Austria",2
"Munich, Bayern 81379",2
"Kaiseraugst, AG",2
Villach,2
"Villach, K",2
Kaiserslautern,2
"Estenfeld, BY",2
"Fischamend, NÖ",2
W,2
"München, Bayern 80802",2
Paderborn,2
Renningen,2
"Genève, GE 1207",2
"Genève, GE 1204",2
"Oftringen, AG 4665",2
Hannover,2
"Geneva/Lausanne area, GE 1200",2
"Geneva area, GE 1200",2
"Nyon, VD",2
"Non-TIBCO Office, Bayern 81669",2
"Stuggart, Baden-Württemberg 70173",2
"3000 Bern, BE",2
"Münchenchen, Bayern 80636",2
"8036 Zurich, ZH",2
"Sursee, LU",2
"6302 Zug, ZG",2
Vienna 1230,2
"Zug, ZG 6300",2
"Wolfhagen, Hessen 34466",2
"Berlin, Berlin 10117",2
Leverkusen,2
Leoben,2
"Berlin, Berlin 14199",2
"Laxenburg, NÖ",2
"Bern, Zurich",2
76131 Karlsruhe,2
Bochum,2
"Basel, BS 4000",2
70563 Stuttgart,2
Mannheim,2
Bratislava,2
Bremen,2
Ramstein-Miesenbach,2
Buchs,2
"Buchs, SG",2
Baden-Württemberg,2
"Klosterneuburg, NÖ",2
"Wiesbaden, Hessen 35189",2
"Baden, AG",2
"Klaus, V",2
Barcelona 08001,2
"Murten, FR",1
"Opfikon, ZH",1
Oberhausen,1
Oberpfaffenhofen,1
"Oftringen AG / Egerkingen SO, AG 4665",1
"Luzern, LU 6001",1
"Munich, Bayern 80992",1
Orth an der Donau,1
64289 Darmstadt,1
"Lugano, TI 6900",1
45143 Essen,1
44789 Bochum,1
64293 Darmstadt,1
"Perth, WA",1
44319 Dortmund,1
"4052 Basel, BS",1
"Luzern, LU 6003",1
"Neuhausen am Rheinfall, SH",1
Noordwijk,1
"MERCK Eysins, VD 1262",1
"Melbourne, VIC",1
"Marchtrenk, OÖ",1
"Muttenz, BL",1
53539 Brücktal,1
"Mex, VS",1
"München, Bayern",1
"Meyrin, GE 1217",1
"4001 Basel, BS",1
"München, Bayern 80538",1
"Montreux, VD 1800",1
"München, Hessen 80359",1
"Manching, Bayern 85077",1
"Münchenen, Bayern 80636",1
