,JobTitle,Company
565,cybersecurity engineer (m/f),24
2269,system engineer (m/f/d) it security,23
2285,systems engineer (m/f/d),22
1863,"senior analyst, cyber security threat intelligence (f/m/x)",21
632,devops engineer (f/m/d),21
519,cyber security engineer (m/f/d),20
642,devops engineering (f/m/x),19
994,information security engineer (f/m/d) - infrastructure security,18
997,information security expert (m/f/d),18
1992,"senior manager, cyber security risk (m/f/d)",18
1128,it infrastructure & security leader m/f/d,17
1449,orth it lead (f/m/x),16
32,(senior) security engineer,16
1006,information security officer (m/f/d),15
1306,linux system admin / devops - 3d measurement solution,15
633,"devops engineer (f/m/d) integration, verification, validation & qualification",15
557,cyber-security consultant for gnss (prague) (gn),15
2370,threat intelligence (cyber/information security) specialist (m/f/d),14
2353,test automation engineer (f/m/d),14
524,cyber security engineer/ consultant for gnss (madrid) (gn),13
1148,it security analyst (m/f/d),13
934,hr data & process specialist (m/f/d),13
446,corporate it – solution architect crm (m/f),13
2258,system administrator (m/f/d),13
1124,it head manufacturing execution systems (mes) (f/m/x),13
983,information security analyst (m/f/d),12
1560,professional service consultant / scrum master,12
195,backend developer - php (m/f),12
558,cyber-security engineer/ consultant for gnss (paris) (gn),12
1216,java development (m/w/d),12
1213,java developer (m/f),12
917,head of the it security section,11
993,information security engineer (d/w/m),11
635,devops engineer (m/f),11
1137,it program manager (m/f),11
1740,sap basis consultant,11
2158,software engineer - smart production (m/f/x),11
1599,project manager automotive (m/f/d),11
1341,managing director sales croatia | renowned austrian food producer,11
1768,scrum master (m/f),10
1685,research scientist – applied security for industrial connected systems,10
1681,research scientist 5g for the industrial iot,10
2264,system architect (f/m/d) railway traffic management,10
2032,senior security & compliance officer (m/f/d),10
2122,software architect (m/f/x),10
2439,workbench architect (f/m/d) for engineering environment,10
1864,"senior analyst, technology controls (cloud / network)",10
1646,regional lead privacy latin america (m/f/d),9
1803,security engineer,9
353,coin/token integration engineer (f/m/d),9
1354,marketing content manager (m/f/d),9
1896,senior consultant (m/f/d) cyber security incident response,9
1842,security sales executive (m/w/d),9
1957,"senior investigator, corporate security (all genders)",9
2315,tech lead c# engineer (with .net) (f/m/d),9
504,cyber security analyst,9
1546,product owner (m/f),9
298,cert - senior incident responder (all genders welcome),9
513,cyber security consultant,9
1152,it security consultant - home based (m/w/d),9
85,analyst (f/m/d) security operation center,9
343,cloud engineer*,8
2223,strategic procurement manager - consumer products*,8
806,front-end web developer (m/f/x),8
1140,it project manager/consultant for marketing applications (m/f/d),8
1141,it project manager/consultant for marketing applications*,8
2316,tech lead java engineer (f/m/d),8
104,application security engineer - ecommerce (m/f/d),8
2000,senior network engineer*,8
895,head of external offices,8
1752,sap security consultant (m/f/d),8
2039,senior security expert (m/f/d),8
174,automotive test engineer (m/w/div.),8
263,business line manager (m/f),8
1080,international payroll specialist (m/f/d),8
651,digital operations architect (all genders welcome),8
1132,it manager (f/m/x) - global engineering,8
2424,wanted: passionate head of software development/cto (w/m/x),8
437,coo chief operating officer (m/f/),8
2015,senior project manager mobilization operations (f/m/d),7
1741,sap bi architekt & administrator*,7
612,deputy security officer (m/f/d) ne & me,7
342,cloud engineer (m/f/d),7
835,german translation specialist (en-de;it-de),7
2257,sysops intern (m/f/d),7
841,global hr technology manager hr application security (m/f/d),7
1178,it solution architect (m/f/d) for digital process management solutions,7
1003,information security officer,7
901,head of it infrastructure (w/m/d),7
1208,itsm senior system administrator (m/f/d),7
1810,security engineer (special opportunity for software developers/linux admins),7
1269,laboratory experienced technician in hydro-chemistry and analysis of stable isotopes of o and h in water (m/f/d),7
918,head of the it security section (m/f),7
2251,sw-developer audio / video,7
1177,it solution architect (m/f),6
790,fpga design engineer (f/m/d),6
1138,it project manager -cloud- hannover (m/w/d),6
1286,lead senior developer (m/w/d) salesforce,6
1194,it system manager (mis) m/f/x,6
2183,solution architect cloud applications & integration (all genders welcome),6
349,cloud system engineer,6
1145,it risk & cybersecurity manager,6
1609,project procurement manager (m/f),6
1850,security system engineer,6
2252,sw-developer linux / android rfs,6
745,experienced software engineer in environmental database programming and management (m/f),6
703,engineer database operations (m/f/t)  essen at allgeier experts pro gmbh,6
2423,wanted: passionate head of java development/cto (w/m/x),6
1089,internship analysis of network communication between device and computing systems,6
1342,managing partner,6
35,.net developer (m/f),6
699,"engineer (m/f/d) integration, verification and qualification",6
1736,salesforce technical developer (m/w/d),6
2092,service desk specialist (m/f/d),6
2050,senior software engineer (jee),6
1122,it enterprise architect (m/f),6
277,c/4 hana/crm architect (m/f/d),6
1054,infrastructure technician / test floor supervisor (gn) nl,6
261,business it analyst renewables (m/f/d),6
2121,"software architect (all genders) - bssn software, lab productivity solutions",6
637,devops engineer (m/f/diverse) for scalable platform services,5
