Word,Frequency
t e a m,6554
m a n a g e m e n t,4910
b u s i n e s s,4149
s e r v i c e,4149
s y s t e m,4068
s k i l l,3791
d e v e l o p m e n t,3644
s u p p o r t,3599
a p p l i c a t i o n,3581
s o l u t i o n,3093
p r o j e c t,3086
g l o b a l,2845
d a t a,2733
e n v i r o n m e n t,2684
c u s t o m e r,2615
u,2613
o p p o r t u n i t y,2584
p r o c e s s,2454
t e c h n i c a l,2450
c o m p a n y,2397
n e w,2365
e m p l o y e e,2322
r e q u i r e m e n t,2318
p r o d u c t,2280
c l i e n t,2181
o f f e r,2116
s o f t w a r e,2110
i n t e r n a t i o n a l,2077
a b i l i t y,2040
c o m m u n i c a t i o n,2020
w e l l,1867
e n g l i s h,1866
d e g r e e,1791
r i s k,1757
j o b,1722
r e q u i r e d,1704
p r o f e s s i o n a l,1694
r e s p o n s i b i l i t y,1665
d e s i g n,1619
a r e a,1582
p e o p l e,1560
l e v e l,1559
e n g i n e e r i n g,1557
r e l a t e d,1548
a p p l y,1532
n e t w o r k,1489
p a r t,1437
l o o k i n g,1429
o p e r a t i o n,1395
s c i e n c e,1379
e n s u r e,1379
d e v e l o p,1377
t e c h n o l o g y,1372
m a n a g e r,1372
t r a i n i n g,1357
p a r t n e r,1345
q u a l i f i c a t i o n,1332
n e e d,1332
o f f i c e,1318
g e r m a n,1317
o r g a n i z a t i o n,1311
h i g h,1284
g r o u p,1280
e x c e l l e n t,1267
b a s e d,1227
c o m p u t e r,1221
a c t i v i t y,1221
c a r e e r,1214
a c r o s s,1209
p r o g r a m,1206
l a n g u a g e,1198
i n n o v a t i v e,1197
f i e l d,1191
i n d u s t r y,1188
q u a l i t y,1184
w o r l d,1179
r e s p o n s i b l e,1152
o n e,1150
s t a n d a r d,1145
s t r a t e g y,1137
m a y,1122
a n a l y s i s,1116
i n t e r n a l,1106
i m p l e m e n t a t i o n,1105
l e a d i n g,1102
b e n e f i t,1089
t o o l,1072
t a s k,1035
u n d e r s t a n d i n g,1028
c o u n t r y,1025
m a r k e t,1018
t e s t,1016
m a k e,1015
a n d o r,1007
a s s e t,1007
f i n a n c i a l,1004
a r c h i t e c t u r e,992
k e y,992
t i m e,983
c l o u d,980
